valCH0[179].real, 0x0000,
valCH0[179].imag, 0x0000,
valCH0[180].real, 0x0000,
valCH0[180].imag, 0x0000,
valCH0[181].real, 0x0000,
valCH0[181].imag, 0x0000,
valCH0[182].real, 0x0000,
valCH0[182].imag, 0x0000,
valCH0[183].real, 0x0000,
valCH0[183].imag, 0x0000,
valCH0[184].real, 0x0000,
valCH0[184].imag, 0x0000,
valCH0[185].real, 0x0000,
valCH0[185].imag, 0x0000,
valCH0[186].real, 0x0000,
valCH0[186].imag, 0x0000,
valCH0[187].real, 0x0000,
valCH0[187].imag, 0x0000,
valCH0[188].real, 0x0000,
valCH0[188].imag, 0x0000,
valCH0[189].real, 0x0000,
valCH0[189].imag, 0x0000,
valCH0[190].real, 0x0000,
valCH0[190].imag, 0x0000,
valCH0[191].real, 0x0000,
valCH0[191].imag, 0x0000,
valCH0[192].real, 0x0000,
valCH0[192].imag, 0x0000,
valCH0[193].real, 0x0000,
valCH0[193].imag, 0x0000,
valCH0[194].real, 0x0000,
valCH0[194].imag, 0x0000,
valCH0[195].real, 0x0000,
valCH0[195].imag, 0x0000,
valCH0[196].real, 0x0000,
valCH0[196].imag, 0x0000,
valCH0[197].real, 0x0000,
valCH0[197].imag, 0x0000,
valCH0[198].real, 0x0000,
valCH0[198].imag, 0x0000,
valCH0[199].real, 0x0000,
valCH0[199].imag, 0x0000,
valCH0[200].real, 0x0000,
valCH0[200].imag, 0x0000,
valCH0[201].real, 0x0000,
valCH0[201].imag, 0x0000,
valCH0[202].real, 0x0000,
valCH0[202].imag, 0x0000,
valCH0[203].real, 0x0000,
valCH0[203].imag, 0x0000,
valCH0[204].real, 0x0000,
valCH0[204].imag, 0x0000,
valCH0[205].real, 0x0000,
valCH0[205].imag, 0x0000,
valCH0[206].real, 0x0000,
valCH0[206].imag, 0x0000,
valCH0[207].real, 0x0000,
valCH0[207].imag, 0x0000,
valCH0[208].real, 0x0000,
valCH0[208].imag, 0x0000,
valCH0[209].real, 0x0000,
valCH0[209].imag, 0x0000,
valCH0[210].real, 0x0000,
valCH0[210].imag, 0x0000,
valCH0[211].real, 0x0000,
valCH0[211].imag, 0x0000,
valCH0[212].real, 0x0000,
valCH0[212].imag, 0x0000,
valCH0[213].real, 0x0000,
valCH0[213].imag, 0x0000,
valCH0[214].real, 0x0000,
valCH0[214].imag, 0x0000,
valCH0[215].real, 0x0000,
valCH0[215].imag, 0x0000,
valCH0[216].real, 0x0000,
valCH0[216].imag, 0x0000,
valCH0[217].real, 0x0000,
valCH0[217].imag, 0x0000,
valCH0[218].real, 0x0000,
valCH0[218].imag, 0x0000,
valCH0[219].real, 0x0000,
valCH0[219].imag, 0x0000,
valCH0[220].real, 0x0000,
valCH0[220].imag, 0x0000,
valCH0[221].real, 0x0000,
valCH0[221].imag, 0x0000,
valCH0[222].real, 0x0000,
valCH0[222].imag, 0x0000,
valCH0[223].real, 0x0000,
valCH0[223].imag, 0x0000,
valCH0[224].real, 0x0000,
valCH0[224].imag, 0x0000,
valCH0[225].real, 0x0000,
valCH0[225].imag, 0x0000,
valCH0[226].real, 0x0000,
valCH0[226].imag, 0x0000,
valCH0[227].real, 0x0000,
valCH0[227].imag, 0x0000,
valCH0[228].real, 0x0000,
valCH0[228].imag, 0x0000,
valCH0[229].real, 0x0000,
valCH0[229].imag, 0x0000,
valCH0[230].real, 0x0000,
valCH0[230].imag, 0x0000,
valCH0[231].real, 0x0000,
valCH0[231].imag, 0x0000,
valCH0[232].real, 0x0000,
valCH0[232].imag, 0x0000,
valCH0[233].real, 0x0000,
valCH0[233].imag, 0x0000,
valCH0[234].real, 0x0000,
valCH0[234].imag, 0x0000,
valCH0[235].real, 0x0000,
valCH0[235].imag, 0x0000,
valCH0[236].real, 0x0000,
valCH0[236].imag, 0x0000,
valCH0[237].real, 0x0000,
valCH0[237].imag, 0x0000,
valCH0[238].real, 0x0000,
valCH0[238].imag, 0x0000,
valCH0[239].real, 0x0000,
valCH0[239].imag, 0x0000,
valCH0[240].real, 0x0000,
valCH0[240].imag, 0x0000,
valCH0[241].real, 0x0000,
valCH0[241].imag, 0x0000,
valCH0[242].real, 0x0000,
valCH0[242].imag, 0x0000,
valCH0[243].real, 0x0000,
valCH0[243].imag, 0x0000,
valCH0[244].real, 0x0000,
valCH0[244].imag, 0x1FFF,
valCH0[245].real, 0x0000,
valCH0[245].imag, 0x0000,
valCH0[246].real, 0x0000,
valCH0[246].imag, 0x0000,
valCH0[247].real, 0x0000,
valCH0[247].imag, 0x0000,
valCH0[248].real, 0x0000,
valCH0[248].imag, 0x0000,
valCH0[249].real, 0x0000,
valCH0[249].imag, 0x0000,
valCH0[250].real, 0x0000,
valCH0[250].imag, 0x0000,
valCH0[251].real, 0x0000,
valCH0[251].imag, 0x0000,
valCH0[252].real, 0x0000,
valCH0[252].imag, 0x0000,
valCH0[253].real, 0x0000,
valCH0[253].imag, 0x0000,
valCH0[254].real, 0x0000,
valCH0[254].imag, 0x0000,
valCH0[255].real, 0x0000,
valCH0[255].imag, 0x0000,
